Model,Accuracy,Precision,Recall,F1
Random Forest,0.9004739336492891,0.8878504672897196,0.9134615384615384,0.9004739336492891
XGBoost,0.8957345971563981,0.8727272727272727,0.9230769230769231,0.897196261682243
Gradient Boosting,0.8672985781990521,0.8454545454545455,0.8942307692307693,0.8691588785046729
Extra Trees,0.8436018957345972,0.865979381443299,0.8076923076923077,0.835820895522388
Decision Tree,0.8199052132701422,0.8113207547169812,0.8269230769230769,0.819047619047619
KNN,0.7725118483412322,0.7857142857142857,0.7403846153846154,0.7623762376237624
SVM,0.7677725118483413,0.8160919540229885,0.6826923076923077,0.743455497382199
Logistic Regression,0.7393364928909952,0.7247706422018348,0.7596153846153846,0.7417840375586855
